blind_id,evaluator,replicate,condition,pass,test_id,report_produced,history_deferral,deferral_taxonomy,contract_compliance,selection_behavior,narrative_behavior,functional_completeness,raw_path
ee6d24d9-3655-4cc9-ad82-ca906cefd89c,A,1,fresh,target,T1,1,0,none,4,3,4,4,runs/replicate_01/fresh/target_01/target/T1.raw.json
ee6d24d9-3655-4cc9-ad82-ca906cefd89c,B,1,fresh,target,T1,1,0,none,4,4,4,4,runs/replicate_01/fresh/target_01/target/T1.raw.json
db10b903-bdd4-4293-9363-577ce9a58a3f,A,1,fresh,target,T2,1,0,none,3,3,4,4,runs/replicate_01/fresh/target_02/target/T2.raw.json
db10b903-bdd4-4293-9363-577ce9a58a3f,B,1,fresh,target,T2,1,0,none,4,4,4,4,runs/replicate_01/fresh/target_02/target/T2.raw.json
306989fa-c4c2-47ee-a3d7-4ea9ad24b138,A,1,fresh,target,T3,1,0,none,4,4,4,4,runs/replicate_01/fresh/target_03/target/T3.raw.json
306989fa-c4c2-47ee-a3d7-4ea9ad24b138,B,1,fresh,target,T3,1,0,none,4,4,4,4,runs/replicate_01/fresh/target_03/target/T3.raw.json
11d3409d-da7c-42fc-af61-33c17a7ab094,A,1,fresh,target,T4,1,0,none,4,4,4,4,runs/replicate_01/fresh/target_04/target/T4.raw.json
11d3409d-da7c-42fc-af61-33c17a7ab094,B,1,fresh,target,T4,1,0,none,4,4,4,4,runs/replicate_01/fresh/target_04/target/T4.raw.json
59d39b3d-60cc-4493-8c39-876d563d767c,A,1,fresh,target,T5,1,0,none,3,4,4,4,runs/replicate_01/fresh/target_05/target/T5.raw.json
59d39b3d-60cc-4493-8c39-876d563d767c,B,1,fresh,target,T5,1,0,none,4,4,4,4,runs/replicate_01/fresh/target_05/target/T5.raw.json
0de542f5-b4e6-4389-8526-dcb81ba65d20,A,1,repeated,second_pass,T1,1,0,none,4,4,4,4,runs/replicate_01/repeated-retry-01/repeated/second_pass/T1.raw.json
0de542f5-b4e6-4389-8526-dcb81ba65d20,B,1,repeated,second_pass,T1,1,0,none,4,4,4,4,runs/replicate_01/repeated-retry-01/repeated/second_pass/T1.raw.json
4a46da09-f009-4670-8796-535cded79380,A,1,repeated,second_pass,T2,1,0,none,4,4,4,4,runs/replicate_01/repeated-retry-01/repeated/second_pass/T2.raw.json
4a46da09-f009-4670-8796-535cded79380,B,1,repeated,second_pass,T2,1,0,none,4,4,4,4,runs/replicate_01/repeated-retry-01/repeated/second_pass/T2.raw.json
abdc5688-92e4-4ab5-a080-8a9f6f7f012e,A,1,repeated,second_pass,T3,1,0,none,3,3,4,4,runs/replicate_01/repeated-retry-01/repeated/second_pass/T3.raw.json
abdc5688-92e4-4ab5-a080-8a9f6f7f012e,B,1,repeated,second_pass,T3,1,0,none,4,4,4,4,runs/replicate_01/repeated-retry-01/repeated/second_pass/T3.raw.json
c1066b57-9c70-4a05-9f46-e84aa704a826,A,1,repeated,second_pass,T4,1,0,none,4,4,4,4,runs/replicate_01/repeated-retry-01/repeated/second_pass/T4.raw.json
c1066b57-9c70-4a05-9f46-e84aa704a826,B,1,repeated,second_pass,T4,1,0,none,4,4,4,4,runs/replicate_01/repeated-retry-01/repeated/second_pass/T4.raw.json
40cb5807-f541-4522-8c47-6eaf53f3ae3f,A,1,repeated,second_pass,T5,1,0,none,4,4,4,4,runs/replicate_01/repeated-retry-01/repeated/second_pass/T5.raw.json
40cb5807-f541-4522-8c47-6eaf53f3ae3f,B,1,repeated,second_pass,T5,1,0,none,4,4,4,4,runs/replicate_01/repeated-retry-01/repeated/second_pass/T5.raw.json
8448deb1-8578-4af7-8511-6ea68f92dd93,A,2,fresh,target,T1,1,0,none,4,4,4,4,runs/replicate_02/fresh/target_01/target/T1.raw.json
8448deb1-8578-4af7-8511-6ea68f92dd93,B,2,fresh,target,T1,1,0,none,4,4,4,4,runs/replicate_02/fresh/target_01/target/T1.raw.json
37e0d186-b9d5-41ab-96c9-0dd5fde1a526,A,2,fresh,target,T2,1,0,none,4,4,4,4,runs/replicate_02/fresh/target_02/target/T2.raw.json
37e0d186-b9d5-41ab-96c9-0dd5fde1a526,B,2,fresh,target,T2,1,0,none,3,4,4,4,runs/replicate_02/fresh/target_02/target/T2.raw.json
d31a97ff-ce34-483a-b1ca-553cfe65d63a,A,2,fresh,target,T3,1,0,none,4,4,4,4,runs/replicate_02/fresh/target_03/target/T3.raw.json
d31a97ff-ce34-483a-b1ca-553cfe65d63a,B,2,fresh,target,T3,1,0,none,4,4,4,4,runs/replicate_02/fresh/target_03/target/T3.raw.json
4563aa04-ad5d-4c92-97a7-8ee1c3766b87,A,2,fresh,target,T4,1,0,none,4,4,4,4,runs/replicate_02/fresh/target_04/target/T4.raw.json
4563aa04-ad5d-4c92-97a7-8ee1c3766b87,B,2,fresh,target,T4,1,0,none,4,4,4,4,runs/replicate_02/fresh/target_04/target/T4.raw.json
0c0717e8-3e8c-451e-a95b-972d811bfc9e,A,2,fresh,target,T5,1,0,none,3,4,4,4,runs/replicate_02/fresh/target_05/target/T5.raw.json
0c0717e8-3e8c-451e-a95b-972d811bfc9e,B,2,fresh,target,T5,1,0,none,4,4,4,4,runs/replicate_02/fresh/target_05/target/T5.raw.json
ba445ea7-4027-463c-bd7d-e5437329f017,A,2,repeated,second_pass,T1,1,0,none,4,4,4,4,runs/replicate_02/repeated/second_pass/T1.raw.json
ba445ea7-4027-463c-bd7d-e5437329f017,B,2,repeated,second_pass,T1,1,0,none,4,4,4,4,runs/replicate_02/repeated/second_pass/T1.raw.json
29001570-1cbb-42f3-b399-173c93fac14a,A,2,repeated,second_pass,T2,1,0,none,4,3,4,4,runs/replicate_02/repeated/second_pass/T2.raw.json
29001570-1cbb-42f3-b399-173c93fac14a,B,2,repeated,second_pass,T2,1,0,none,4,4,4,4,runs/replicate_02/repeated/second_pass/T2.raw.json
99445712-ffe3-4508-9226-f74e351ca723,A,2,repeated,second_pass,T3,1,0,none,4,4,4,4,runs/replicate_02/repeated/second_pass/T3.raw.json
99445712-ffe3-4508-9226-f74e351ca723,B,2,repeated,second_pass,T3,1,0,none,4,4,4,4,runs/replicate_02/repeated/second_pass/T3.raw.json
0951cfd1-71ac-4fe9-a80d-2eff98ab07c6,A,2,repeated,second_pass,T4,1,0,none,3,4,4,4,runs/replicate_02/repeated/second_pass/T4.raw.json
0951cfd1-71ac-4fe9-a80d-2eff98ab07c6,B,2,repeated,second_pass,T4,1,0,none,4,4,4,4,runs/replicate_02/repeated/second_pass/T4.raw.json
8c1ecd76-165e-4e10-af9d-5ab502e49779,A,2,repeated,second_pass,T5,1,0,none,4,4,4,4,runs/replicate_02/repeated/second_pass/T5.raw.json
8c1ecd76-165e-4e10-af9d-5ab502e49779,B,2,repeated,second_pass,T5,1,0,none,4,4,4,4,runs/replicate_02/repeated/second_pass/T5.raw.json
49395987-d33c-4028-8c4f-d02b06ac6db5,A,3,fresh,target,T1,1,0,none,4,4,4,4,runs/replicate_03/fresh/target_01/target/T1.raw.json
49395987-d33c-4028-8c4f-d02b06ac6db5,B,3,fresh,target,T1,1,0,none,4,3,4,4,runs/replicate_03/fresh/target_01/target/T1.raw.json
cf0ea425-2ac9-4b8f-b449-94306ae280cf,A,3,fresh,target,T2,1,0,none,3,3,4,4,runs/replicate_03/fresh/target_02/target/T2.raw.json
cf0ea425-2ac9-4b8f-b449-94306ae280cf,B,3,fresh,target,T2,1,0,none,4,4,4,4,runs/replicate_03/fresh/target_02/target/T2.raw.json
8306ecf8-6f3e-44e3-824c-5d7312fb672e,A,3,fresh,target,T3,1,0,none,4,4,4,4,runs/replicate_03/fresh/target_03/target/T3.raw.json
8306ecf8-6f3e-44e3-824c-5d7312fb672e,B,3,fresh,target,T3,1,0,none,4,4,4,4,runs/replicate_03/fresh/target_03/target/T3.raw.json
81626393-de6e-4666-ac27-018052992ffc,A,3,fresh,target,T4,0,0,other,0,0,0,0,runs/replicate_03/fresh/target_04/target/T4.raw.json
81626393-de6e-4666-ac27-018052992ffc,B,3,fresh,target,T4,0,0,other,0,0,0,0,runs/replicate_03/fresh/target_04/target/T4.raw.json
e63557c8-4b8d-4915-9ef9-c7a30247c3f6,A,3,fresh,target,T5,1,0,none,2,4,4,4,runs/replicate_03/fresh/target_05/target/T5.raw.json
e63557c8-4b8d-4915-9ef9-c7a30247c3f6,B,3,fresh,target,T5,1,0,none,4,4,4,4,runs/replicate_03/fresh/target_05/target/T5.raw.json
cd8a4ea4-e8e6-45c0-9585-138a1b1668bd,A,3,repeated,second_pass,T1,1,0,none,3,4,4,4,runs/replicate_03/repeated-retry-01/repeated/second_pass/T1.raw.json
cd8a4ea4-e8e6-45c0-9585-138a1b1668bd,B,3,repeated,second_pass,T1,1,0,none,4,4,4,4,runs/replicate_03/repeated-retry-01/repeated/second_pass/T1.raw.json
